Supplementary Table 2. List of genes with pathogenic variant frequencies in Pan-cancer compared to controls																		
																		
Gene Symbol	Ensenbl ID	Gene set	Inheritance	Case-control (PTVs)					Case-control (ClinVar Pathogenic variants)					Case-control (PTVs + ClinVar Pathogenic variants)				
				PCAWG (%)	1KG (%)	Log2 (Odds ratio)	P-value	FDR	PCAWG (%)	1KG (%)	Log2 (Odds ratio)	P-value	FDR	PCAWG (%)	1KG (%)	Log2 (Odds ratio)	P-value	FDR
NEU1	ENSG00000204386	OMIM	AR	-	-	-	-	-	0.11	0.04	1.85	0.217	0.256	0.11	0.04	1.85	0.217	0.255
NFKBIE	ENSG00000146232	SOD	Not OMIM	0.00	0.20	-1.72	0.285	0.333	-	-	-	-	-	0.00	0.20	-1.72	0.285	0.332
NGLY1	ENSG00000151092	OMIM	AR	0.11	0.16	-0.70	0.505	0.567	0.11	0.12	-0.34	0.766	0.800	0.11	0.20	-0.77	0.456	0.516
NIPAL4	ENSG00000172548	OMIM	AR	-	-	-	-	-	0.38	0.12	0.83	0.391	0.449	0.45	0.12	0.99	0.291	0.339
NLRC4	ENSG00000091106	OMIM	AD	0.38	0.00	2.01	0.194	0.229	-	-	-	-	-	0.38	0.00	2.01	0.194	0.228
NLRP12	ENSG00000142405	OMIM	AD	0.15	0.44	0.48	0.592	0.654	-	-	-	-	-	0.19	0.44	0.55	0.522	0.581
NLRP3	ENSG00000162711	OMIM	AD	-	-	-	-	-	-	-	-	-	-	0.04	0.08	-0.66	0.654	0.709
NLRP5	ENSG00000171487	SOD	Not OMIM	0.15	0.08	0.07	0.954	0.961	-	-	-	-	-	0.15	0.08	0.07	0.954	0.961
NLRP7	ENSG00000167634	OMIM	AR	-	-	-	-	-	0.00	0.16	-0.84	0.616	0.675	0.04	0.16	-0.41	0.774	0.806
NME8	ENSG00000086288	OMIM	AR	0.11	0.32	-1.18	0.215	0.254	-	-	-	-	-	0.11	0.32	-1.18	0.215	0.253
NMNAT1	ENSG00000173614	OMIM	AR	-	-	-	-	-	0.26	0.04	0.70	0.560	0.620	0.26	0.04	0.70	0.560	0.619
NOBOX	ENSG00000106410	OMIM	AD	0.11	0.08	0.15	0.903	0.921	-	-	-	-	-	0.15	0.08	0.41	0.737	0.781
NOD2	ENSG00000167207	OMIM	AD	0.23	0.04	2.86	0.112	0.134	-	-	-	-	-	0.23	0.04	2.86	0.112	0.133
NOS3	ENSG00000164867	OMIM	AD	0.08	0.04	0.51	0.740	0.785	-	-	-	-	-	0.08	0.04	0.51	0.740	0.783
NOTCH3	ENSG00000074181	OMIM	AD	-	-	-	-	-	0.08	0.04	0.82	0.535	0.595	0.11	0.04	0.98	0.440	0.498
NPC1	ENSG00000141458	OMIM	AR	-	-	-	-	-	0.53	0.08	1.45	0.181	0.214	0.53	0.08	1.45	0.181	0.214
NPC1L1	ENSG00000015520	OMIM	Other	0.26	0.32	0.22	0.775	0.808	-	-	-	-	-	0.26	0.32	0.22	0.775	0.807
NPFFR2	ENSG00000056291	SOD	Not OMIM	0.34	0.12	0.74	0.450	0.512	-	-	-	-	-	0.34	0.12	0.74	0.450	0.509
NPHP3	ENSG00000113971	OMIM	AR	0.11	0.00	1.24	0.461	0.523	0.11	0.04	0.92	0.532	0.593	0.11	0.04	0.92	0.532	0.592
NPHS1	ENSG00000161270	OMIM	AR	-	-	-	-	-	0.19	0.24	0.38	0.740	0.785	0.19	0.24	0.38	0.740	0.783
NPHS2	ENSG00000116218	OMIM	AR	-	-	-	-	-	0.08	0.08	-0.11	0.935	0.947	0.08	0.08	-0.11	0.935	0.946
NPPA	ENSG00000175206	OMIM	ADAR	-	-	-	-	-	-	-	-	-	-	0.04	0.08	-0.91	0.535	0.594
NR0B2	ENSG00000131910	OMIM	ADAR	0.04	0.08	-0.51	0.721	0.772	-	-	-	-	-	0.04	0.08	-0.51	0.721	0.770
NR1H4	ENSG00000012504	OMIM	AR	0.11	0.00	2.38	0.192	0.227	-	-	-	-	-	0.11	0.00	2.38	0.192	0.227
NR3C2	ENSG00000151623	OMIM	AD	0.00	0.20	-2.21	0.182	0.215	-	-	-	-	-	0.00	0.20	-2.21	0.182	0.215
NR5A1	ENSG00000136931	OMIM	AD	-	-	-	-	-	0.08	0.08	0.56	0.668	0.724	0.08	0.08	0.56	0.668	0.721
NSMCE2	ENSG00000156831	OMIM	AR	0.11	0.00	1.52	0.360	0.417	-	-	-	-	-	0.11	0.00	1.52	0.360	0.415
NSUN2	ENSG00000037474	OMIM	AR	0.04	0.08	-1.02	0.469	0.532	-	-	-	-	-	0.08	0.08	-0.31	0.802	0.828
NT5E	ENSG00000135318	OMIM	AR	0.08	0.04	0.55	0.717	0.768	-	-	-	-	-	0.08	0.08	-0.56	0.678	0.730
NTRK1	ENSG00000198400	OMIM	ADAR	-	-	-	-	-	0.04	0.08	-0.11	0.933	0.945	0.08	0.08	0.16	0.898	0.915
NUP107	ENSG00000111581	OMIM	AR	0.15	0.04	0.49	0.700	0.754	-	-	-	-	-	0.15	0.04	0.49	0.700	0.751
NUP133	ENSG00000069248	OMIM	AR	0.04	0.08	0.78	0.576	0.638	-	-	-	-	-	0.04	0.08	0.78	0.576	0.635
NUP160	ENSG00000030066	OMIM	AR	0.11	0.00	2.44	0.186	0.221	-	-	-	-	-	0.11	0.00	2.44	0.186	0.220
NUP93	ENSG00000102900	OMIM	AR	-	-	-	-	-	0.26	0.20	-0.22	0.824	0.848	0.26	0.24	-0.63	0.487	0.547
OAT	ENSG00000065154	OMIM	AR	-	-	-	-	-	0.04	0.08	-1.20	0.392	0.450	0.04	0.08	-1.20	0.392	0.448
OBSL1	ENSG00000124006	OMIM	AR	0.34	0.16	0.68	0.426	0.487	-	-	-	-	-	0.34	0.16	0.68	0.426	0.484
OCA2	ENSG00000104044	OMIM	AR	0.19	0.12	0.29	0.793	0.821	0.30	0.16	0.99	0.373	0.430	0.49	0.28	0.72	0.396	0.453
ODAM	ENSG00000109205	SOD	Not OMIM	0.11	0.04	0.88	0.562	0.624	-	-	-	-	-	0.11	0.04	0.88	0.562	0.621
OLR1	ENSG00000173391	OMIM	Other	0.08	0.04	0.20	0.889	0.908	-	-	-	-	-	0.08	0.04	0.20	0.889	0.907
OMA1	ENSG00000162600	SOD	Not OMIM	0.04	0.12	0.16	0.903	0.920	-	-	-	-	-	0.04	0.12	0.16	0.903	0.919
OMD	ENSG00000127083	SOD	Not OMIM	0.04	0.16	-1.03	0.395	0.454	-	-	-	-	-	0.04	0.16	-1.03	0.395	0.452
OPLAH	ENSG00000178814	OMIM	ADAR	0.08	0.04	1.25	0.390	0.449	-	-	-	-	-	0.08	0.04	1.25	0.390	0.446
OPN1SW	ENSG00000128617	OMIM	AD	0.15	0.00	1.15	0.495	0.557	-	-	-	-	-	0.15	0.08	-0.41	0.720	0.768
OR4A16	ENSG00000181961	SOD	Not OMIM	0.04	0.08	0.29	0.857	0.880	-	-	-	-	-	0.04	0.08	0.29	0.857	0.879
ORC1	ENSG00000085840	OMIM	AR	-	-	-	-	-	0.08	0.08	-1.12	0.366	0.422	0.08	0.08	-1.12	0.366	0.421
ORC4	ENSG00000115947	OMIM	AR	0.08	0.04	-0.63	0.665	0.722	-	-	-	-	-	0.08	0.04	-0.63	0.665	0.719
ORC6	ENSG00000091651	OMIM	AR	0.15	0.08	-0.73	0.515	0.577	0.15	0.12	-0.84	0.440	0.499	0.15	0.12	-0.84	0.440	0.498
OSGEP	ENSG00000092094	OMIM	AR	-	-	-	-	-	0.11	0.04	-0.29	0.832	0.854	0.11	0.08	-1.00	0.395	0.452
OSMR	ENSG00000145623	OMIM	AD	0.15	0.04	1.60	0.240	0.282	-	-	-	-	-	0.15	0.04	1.60	0.240	0.281
OTOF	ENSG00000115155	OMIM	AR	0.11	0.12	0.10	0.938	0.950	0.04	0.12	-0.61	0.681	0.736	0.11	0.12	0.10	0.938	0.949
OTOG	ENSG00000188162	OMIM	AR	0.87	0.16	2.68	0.001	0.002	0.42	0.04	2.57	0.025	0.030	0.87	0.16	2.68	0.001	0.002
OTOGL	ENSG00000165899	OMIM	AR	0.26	0.08	0.31	0.765	0.801	-	-	-	-	-	0.26	0.08	0.31	0.765	0.800
OTUD6B	ENSG00000155100	OMIM	AR	0.11	0.00	2.24	0.217	0.256	-	-	-	-	-	0.11	0.00	2.24	0.217	0.255
OTUD7A	ENSG00000169918	SOD	Not OMIM	0.00	0.40	-2.78	0.069	0.082	-	-	-	-	-	0.00	0.40	-2.78	0.069	0.082
PADI3	ENSG00000142619	OMIM	AR	0.08	0.04	2.45	0.166	0.197	0.15	0.00	1.19	0.476	0.537	0.23	0.04	2.71	0.098	0.117
PADI4	ENSG00000159339	OMIM	Other	0.11	0.16	2.13	0.068	0.081	-	-	-	-	-	0.11	0.16	2.13	0.068	0.081
PAH	ENSG00000171759	OMIM	AR	-	-	-	-	-	1.82	0.56	1.01	0.055	0.066	1.82	0.56	1.01	0.055	0.066
PALB2	ENSG00000083093	CPG	Not OMIM	0.15	0.04	0.05	0.971	0.975	-	-	-	-	-	0.15	0.04	0.05	0.971	0.975
PALLD	ENSG00000129116	OMIM	AD	0.19	0.16	0.56	0.606	0.667	-	-	-	-	-	0.19	0.16	0.56	0.606	0.664
PANK2	ENSG00000125779	OMIM	AR	0.08	0.04	0.22	0.877	0.898	-	-	-	-	-	0.15	0.04	0.57	0.662	0.716
PANX1	ENSG00000110218	OMIM	AD	0.04	0.08	0.14	0.927	0.941	-	-	-	-	-	0.04	0.08	0.14	0.927	0.940
PAPSS2	ENSG00000198682	OMIM	AR	0.08	0.12	-0.67	0.612	0.674	-	-	-	-	-	0.08	0.12	-0.67	0.612	0.671
PARK2	ENSG00000185345	OMIM	AR	0.15	0.00	1.24	0.455	0.518	0.11	0.04	0.57	0.686	0.741	0.19	0.04	0.85	0.524	0.583
PARK7	ENSG00000116288	OMIM	AR	-	-	-	-	-	0.00	0.20	-1.14	0.479	0.540	0.00	0.20	-1.14	0.479	0.539
PARS2	ENSG00000162396	OMIM	AR	-	-	-	-	-	0.34	0.20	-0.20	0.807	0.833	0.42	0.20	0.03	0.967	0.972
PAX4	ENSG00000106331	OMIM	AD	-	-	-	-	-	0.61	0.16	1.95	0.009	0.010	0.64	0.16	1.98	0.008	0.009
PCBD1	ENSG00000166228	OMIM	AR	0.08	0.04	0.76	0.591	0.653	-	-	-	-	-	0.08	0.04	0.76	0.591	0.650
PCCA	ENSG00000175198	OMIM	AR	0.08	0.08	-0.48	0.733	0.780	0.11	0.04	0.25	0.850	0.871	0.11	0.08	0.20	0.877	0.897
PCCB	ENSG00000114054	OMIM	AR	0.11	0.08	-0.24	0.841	0.866	0.38	0.12	1.34	0.142	0.168	0.38	0.16	1.11	0.191	0.225
PCDH15	ENSG00000150275	OMIM	AR	0.26	0.04	0.65	0.584	0.646	0.15	0.00	1.37	0.403	0.461	0.26	0.04	0.65	0.584	0.643
PCDHA3	ENSG00000255408	SOD	Not OMIM	0.11	0.00	1.15	0.495	0.558	-	-	-	-	-	0.11	0.00	1.15	0.495	0.555
PCK2	ENSG00000100889	OMIM	AR	0.91	0.32	0.45	0.509	0.571	-	-	-	-	-	0.91	0.32	0.45	0.509	0.568
PCM1	ENSG00000078674	SOD	Not OMIM	0.04	0.24	-0.81	0.529	0.591	-	-	-	-	-	0.04	0.24	-0.81	0.529	0.588
PCNT	ENSG00000160299	OMIM	AR	0.15	0.20	0.79	0.465	0.527	0.00	0.16	-0.98	0.555	0.615	0.15	0.20	0.79	0.465	0.524
PCSK1	ENSG00000175426	OMIM	AR	-	-	-	-	-	-	-	-	-	-	0.04	0.08	0.03	0.985	0.987
PCSK9	ENSG00000169174	OMIM	AD	0.08	0.28	-0.17	0.873	0.895	0.00	0.36	-1.58	0.312	0.362	0.08	0.36	-0.40	0.701	0.751
PDCD2L	ENSG00000126249	SOD	Not OMIM	0.30	0.28	-1.11	0.159	0.189	-	-	-	-	-	0.30	0.28	-1.11	0.159	0.189
PDE11A	ENSG00000128655	OMIM	AD	0.98	0.88	-0.30	0.564	0.627	0.11	0.12	0.51	0.645	0.703	0.98	0.88	-0.30	0.564	0.624
PDE4DIP	ENSG00000178104	SOD	Not OMIM	0.00	0.16	-1.62	0.317	0.370	-	-	-	-	-	0.00	0.16	-1.62	0.317	0.368
PDE6B	ENSG00000133256	OMIM	ADAR	0.11	0.12	0.18	0.893	0.912	0.08	0.08	-0.15	0.910	0.927	0.11	0.16	0.03	0.983	0.985
PDGFRL	ENSG00000104213	OMIM	Other	0.11	0.24	-0.88	0.403	0.462	-	-	-	-	-	0.11	0.24	-0.88	0.403	0.460
PDX1	ENSG00000139515	OMIM	ADAR	-	-	-	-	-	0.08	0.04	-0.58	0.685	0.740	0.11	0.04	-0.31	0.821	0.845
PDYN	ENSG00000101327	OMIM	AD	-	-	-	-	-	-	-	-	-	-	0.04	0.08	0.00	0.998	0.998
PEG3	ENSG00000198300	SOD	Not OMIM	0.45	0.68	0.41	0.475	0.538	-	-	-	-	-	0.45	0.68	0.41	0.475	0.535
PEPD	ENSG00000124299	OMIM	AR	0.08	0.04	0.36	0.813	0.839	-	-	-	-	-	0.11	0.08	-0.44	0.725	0.772
PER3	ENSG00000049246	OMIM	AD	0.26	0.08	0.86	0.456	0.519	-	-	-	-	-	0.26	0.08	0.86	0.456	0.515
PEX1	ENSG00000127980	OMIM	AR	0.34	0.00	2.97	0.075	0.090	0.34	0.00	2.81	0.099	0.118	0.38	0.00	3.03	0.068	0.081
PEX6	ENSG00000124587	OMIM	AR	0.11	0.00	3.45	0.090	0.107	-	-	-	-	-	0.11	0.00	3.45	0.090	0.107
PEX7	ENSG00000112357	OMIM	AR	-	-	-	-	-	0.04	0.08	-0.03	0.987	0.988	0.04	0.08	-0.03	0.987	0.988
PFKL	ENSG00000141959	OMIM	Other	0.08	0.04	0.59	0.668	0.724	-	-	-	-	-	0.08	0.04	0.59	0.668	0.721
PGAP2	ENSG00000148985	OMIM	AR	0.11	0.00	1.17	0.490	0.552	-	-	-	-	-	0.11	0.00	1.17	0.490	0.550
PGM1	ENSG00000079739	OMIM	AR	0.08	0.04	0.59	0.722	0.772	-	-	-	-	-	0.08	0.04	0.59	0.722	0.770
PHKB	ENSG00000102893	OMIM	AR	0.11	0.04	1.08	0.496	0.559	-	-	-	-	-	0.11	0.04	1.08	0.496	0.556
PHKG2	ENSG00000156873	OMIM	AR	-	-	-	-	-	-	-	-	-	-	0.08	0.04	0.64	0.663	0.717
PHOX2B	ENSG00000109132	CPG	Not OMIM	0.00	0.40	-2.85	0.066	0.079	-	-	-	-	-	0.00	0.40	-2.85	0.066	0.079
PHYH	ENSG00000107537	OMIM	AR	-	-	-	-	-	0.23	0.24	1.59	0.073	0.087	0.23	0.24	1.59	0.073	0.087
PHYKPL	ENSG00000175309	OMIM	Other	0.08	0.04	0.86	0.624	0.684	-	-	-	-	-	0.11	0.04	1.13	0.506	0.565
PIBF1	ENSG00000083535	OMIM	AR	0.23	0.04	1.83	0.203	0.240	-	-	-	-	-	0.26	0.04	1.92	0.176	0.208
PIEZO1	ENSG00000103335	OMIM	ADAR	0.11	0.04	1.19	0.382	0.441	-	-	-	-	-	0.11	0.04	1.19	0.382	0.438
PIGC	ENSG00000135845	OMIM	AR	0.00	0.16	-0.88	0.593	0.655	-	-	-	-	-	0.00	0.16	-0.88	0.593	0.652
PIGG	ENSG00000174227	OMIM	AR	-	-	-	-	-	0.08	0.04	0.43	0.753	0.791	0.08	0.04	0.43	0.753	0.792
PIGN	ENSG00000197563	OMIM	AR	0.11	0.12	0.08	0.946	0.955	0.11	0.00	1.60	0.338	0.391	0.19	0.12	0.41	0.717	0.766
PIGO	ENSG00000165282	OMIM	AR	-	-	-	-	-	-	-	-	-	-	0.11	0.00	1.80	0.272	0.318
PIGP	ENSG00000185808	OMIM	AR	0.15	0.12	0.98	0.431	0.492	-	-	-	-	-	0.15	0.12	0.98	0.431	0.489
PIGQ	ENSG00000007541	OMIM	AR	-	-	-	-	-	-	-	-	-	-	0.08	0.04	-0.48	0.732	0.778
PIGT	ENSG00000124155	OMIM	ADAR	0.08	0.08	-0.68	0.620	0.680	0.11	0.04	0.97	0.552	0.612	0.19	0.12	0.00	1.000	1.000
PIGV	ENSG00000060642	OMIM	AR	-	-	-	-	-	-	-	-	-	-	0.08	0.08	-0.96	0.453	0.512
PIGW	ENSG00000184886	OMIM	AR	-	-	-	-	-	-	-	-	-	-	0.08	0.04	0.28	0.835	0.858
PIKFYVE	ENSG00000115020	OMIM	AD	0.15	0.00	1.90	0.240	0.282	-	-	-	-	-	0.15	0.00	1.90	0.240	0.281
PINK1	ENSG00000158828	OMIM	AR	-	-	-	-	-	0.11	0.08	0.03	0.982	0.985	0.11	0.12	-0.29	0.786	0.815
PITX2	ENSG00000164093	OMIM	AD	-	-	-	-	-	0.11	0.00	1.12	0.509	0.571	0.11	0.00	1.12	0.509	0.569
PKD1L1	ENSG00000158683	OMIM	AR	0.11	0.00	1.20	0.477	0.540	-	-	-	-	-	0.11	0.00	1.20	0.477	0.537
PKHD1	ENSG00000170927	OMIM	AR	0.15	0.12	0.67	0.593	0.655	0.45	0.20	1.67	0.093	0.111	0.49	0.20	1.70	0.084	0.100
PKHD1L1	ENSG00000205038	SOD	Not OMIM	0.76	0.52	-0.26	0.674	0.730	-	-	-	-	-	0.76	0.52	-0.26	0.674	0.727
PKLR	ENSG00000143627	OMIM	ADAR	-	-	-	-	-	0.08	0.04	-0.36	0.795	0.822	0.08	0.08	-1.15	0.356	0.411
PLA2G6	ENSG00000184381	OMIM	AR	-	-	-	-	-	0.11	0.08	0.79	0.526	0.587	0.11	0.12	0.34	0.760	0.796
PLCD1	ENSG00000187091	OMIM	ADAR	0.11	0.00	1.15	0.498	0.561	-	-	-	-	-	0.15	0.04	1.05	0.467	0.526
PLCG1	ENSG00000124181	SOD	Not OMIM	0.04	0.12	-0.51	0.726	0.776	-	-	-	-	-	0.04	0.12	-0.51	0.726	0.774
PLCZ1	ENSG00000139151	OMIM	AR	0.11	0.08	0.11	0.929	0.942	-	-	-	-	-	0.11	0.08	0.11	0.929	0.941
PLD1	ENSG00000075651	OMIM	AR	0.04	0.12	-0.49	0.732	0.780	-	-	-	-	-	0.04	0.16	-0.77	0.564	0.623
PLEC	ENSG00000178209	OMIM	AR	0.15	0.04	1.27	0.391	0.450	-	-	-	-	-	0.15	0.04	1.27	0.391	0.448
PLEKHG2	ENSG00000090924	OMIM	AR	0.15	0.04	1.49	0.264	0.309	0.26	0.00	3.26	0.033	0.040	0.42	0.04	2.93	0.011	0.013
PLOD2	ENSG00000152952	OMIM	AR	0.08	0.04	0.00	0.999	0.999	-	-	-	-	-	0.08	0.04	0.00	0.999	0.999
PLOD3	ENSG00000106397	OMIM	AR	0.19	0.00	2.29	0.149	0.177	0.11	0.00	2.12	0.189	0.224	0.19	0.00	2.29	0.149	0.177
PMFBP1	ENSG00000118557	OMIM	AR	0.11	0.16	-0.15	0.893	0.912	0.08	0.20	-0.83	0.422	0.480	0.19	0.36	-0.63	0.434	0.492
PMM2	ENSG00000140650	OMIM	AR	-	-	-	-	-	0.30	0.20	0.00	0.996	0.996	0.30	0.24	-0.36	0.653	0.708
PMPCA	ENSG00000165688	OMIM	AR	-	-	-	-	-	-	-	-	-	-	0.04	0.08	-0.28	0.848	0.871
PMS2	ENSG00000122512	CPG	Not OMIM	-	-	-	-	-	0.11	0.00	1.77	0.281	0.328	0.11	0.00	1.77	0.281	0.328
PMVK	ENSG00000163344	OMIM	AD	0.08	0.04	-0.45	0.751	0.793	-	-	-	-	-	0.08	0.04	-0.45	0.751	0.791
PNKP	ENSG00000039650	OMIM	AR	0.11	0.12	-0.33	0.792	0.820	-	-	-	-	-	0.11	0.12	-0.33	0.792	0.819
PNPLA6	ENSG00000032444	OMIM	AR	0.19	0.04	0.86	0.488	0.551	-	-	-	-	-	0.19	0.04	0.86	0.488	0.548
PNPO	ENSG00000108439	OMIM	AR	-	-	-	-	-	0.04	0.08	0.54	0.704	0.756	0.04	0.16	-0.81	0.531	0.591
POC1B	ENSG00000139323	OMIM	AR	0.04	0.08	-1.23	0.375	0.433	-	-	-	-	-	0.04	0.08	-1.23	0.375	0.430
POGZ	ENSG00000143442	OMIM	AD	-	-	-	-	-	0.04	0.20	-0.71	0.568	0.628	0.04	0.20	-0.71	0.568	0.628
POLG	ENSG00000140521	OMIM	AR	-	-	-	-	-	0.26	0.08	1.62	0.242	0.285	0.30	0.12	1.59	0.221	0.260
POLH	ENSG00000170734	CPG	Not OMIM	-	-	-	-	-	0.11	0.00	2.11	0.193	0.228	0.15	0.00	2.19	0.170	0.202
POLQ	ENSG00000051341	SOD	Not OMIM	0.61	0.28	1.14	0.144	0.172	-	-	-	-	-	0.61	0.28	1.14	0.144	0.171
POLR1C	ENSG00000171453	OMIM	AR	-	-	-	-	-	0.08	0.04	0.60	0.661	0.718	0.11	0.04	1.17	0.364	0.420
POLR3A	ENSG00000148606	OMIM	AR	-	-	-	-	-	0.00	0.12	-1.94	0.257	0.302	0.04	0.12	-1.19	0.380	0.436
POLR3B	ENSG00000013503	OMIM	AR	-	-	-	-	-	0.15	0.04	-0.08	0.948	0.958	0.15	0.04	-0.08	0.948	0.957
POMC	ENSG00000115138	OMIM	AR	0.19	0.00	1.53	0.345	0.401	-	-	-	-	-	0.19	0.00	1.53	0.345	0.399
POMGNT1	ENSG00000085998	OMIM	AR	0.11	0.04	-0.08	0.949	0.957	0.04	0.08	-0.47	0.746	0.788	0.11	0.12	-0.60	0.602	0.661
POMT1	ENSG00000130714	OMIM	AR	-	-	-	-	-	0.08	0.04	-0.30	0.828	0.852	0.08	0.04	-0.30	0.828	0.852
PON1	ENSG00000005421	OMIM	Other	0.15	0.24	-0.14	0.898	0.916	-	-	-	-	-	0.15	0.24	-0.14	0.898	0.915
PON2	ENSG00000105854	OMIM	Other	0.19	0.12	0.24	0.840	0.864	-	-	-	-	-	0.19	0.12	0.24	0.840	0.863
POP1	ENSG00000104356	OMIM	AR	0.04	0.20	-0.25	0.860	0.883	-	-	-	-	-	0.04	0.20	-0.25	0.860	0.881
POR	ENSG00000127948	OMIM	AR	-	-	-	-	-	0.15	0.04	0.75	0.560	0.620	0.19	0.04	0.91	0.468	0.528
PPA2	ENSG00000138777	OMIM	AR	-	-	-	-	-	0.15	0.24	-0.97	0.327	0.380	0.19	0.24	-0.80	0.398	0.455
PPIP5K2	ENSG00000145725	OMIM	AR	-	-	-	-	-	-	-	-	-	-	0.04	0.08	0.38	0.818	0.842
PPP1R15B	ENSG00000158615	OMIM	AR	0.08	0.04	0.41	0.765	0.802	-	-	-	-	-	0.08	0.04	0.41	0.765	0.800
PPP2R1B	ENSG00000137713	OMIM	Other	0.11	0.04	2.40	0.122	0.145	-	-	-	-	-	0.11	0.04	2.40	0.122	0.145
PRDM6	ENSG00000061455	OMIM	AD	0.00	1.84	-4.31	0.004	0.005	-	-	-	-	-	0.00	1.84	-4.31	0.004	0.005
PRF1	ENSG00000180644	SOD	Not OMIM	0.00	0.16	-0.91	0.581	0.643	0.04	0.28	-1.24	0.340	0.394	0.04	0.28	-1.24	0.340	0.394
PRIMPOL	ENSG00000164306	OMIM	AD	0.15	0.04	1.09	0.464	0.526	-	-	-	-	-	0.15	0.04	1.09	0.464	0.523
PROKR2	ENSG00000101292	OMIM	AD	-	-	-	-	-	0.11	0.08	0.05	0.964	0.970	0.15	0.08	0.18	0.869	0.889
PROM1	ENSG00000007062	OMIM	ADAR	0.19	0.04	0.91	0.497	0.560	0.11	0.00	1.07	0.532	0.592	0.19	0.04	0.91	0.497	0.557
PROP1	ENSG00000175325	OMIM	AR	0.08	0.08	0.55	0.721	0.772	0.15	0.08	0.91	0.519	0.581	0.15	0.08	0.91	0.519	0.579
PROZ	ENSG00000126231	OMIM	Other	0.11	0.04	4.07	0.009	0.010	-	-	-	-	-	0.11	0.04	4.07	0.009	0.010
PRSS12	ENSG00000164099	OMIM	AR	0.49	0.20	3.74	0.001	0.001	-	-	-	-	-	0.49	0.20	3.74	0.001	0.001
PRSS50	ENSG00000206549	SOD	Not OMIM	0.19	0.00	1.59	0.325	0.378	-	-	-	-	-	0.19	0.00	1.59	0.325	0.377
PRSS56	ENSG00000237412	OMIM	AR	0.08	0.04	0.67	0.685	0.740	0.30	0.40	-0.97	0.204	0.241	0.38	0.44	-0.77	0.288	0.335
PRX	ENSG00000105227	OMIM	AR	0.11	0.08	0.49	0.676	0.732	-	-	-	-	-	0.11	0.08	0.49	0.676	0.729
PSKH2	ENSG00000147613	SOD	Not OMIM	0.19	0.20	0.72	0.511	0.574	-	-	-	-	-	0.19	0.20	0.72	0.511	0.571
PTCH2	ENSG00000117425	OMIM	AD	0.15	0.12	0.24	0.811	0.837	0.08	0.12	-0.32	0.772	0.804	0.15	0.12	0.24	0.811	0.836
PTGDR	ENSG00000168229	OMIM	Other	0.15	0.24	1.34	0.155	0.184	-	-	-	-	-	0.15	0.24	1.34	0.155	0.184
PTGIS	ENSG00000124212	OMIM	Other	-	-	-	-	-	0.08	0.12	-1.44	0.249	0.292	0.15	0.12	-0.13	0.910	0.925
PTK6	ENSG00000101213	SOD	Not OMIM	0.23	0.32	-0.04	0.966	0.970	-	-	-	-	-	0.23	0.32	-0.04	0.966	0.970
PTPN13	ENSG00000163629	SOD	Not OMIM	0.08	0.08	0.01	0.993	0.994	-	-	-	-	-	0.08	0.08	0.01	0.993	0.994
PTPN22	ENSG00000134242	OMIM	ADAR	0.19	0.04	0.84	0.503	0.565	-	-	-	-	-	0.19	0.04	0.84	0.503	0.562
PTPRB	ENSG00000127329	SOD	Not OMIM	0.08	0.12	0.58	0.706	0.759	-	-	-	-	-	0.08	0.12	0.58	0.706	0.756
PTPRK	ENSG00000152894	SOD	Not OMIM	0.11	0.08	1.32	0.297	0.346	-	-	-	-	-	0.11	0.08	1.32	0.297	0.345
PTPRQ	ENSG00000139304	OMIM	ADAR	0.19	0.04	1.56	0.234	0.275	-	-	-	-	-	0.19	0.04	1.56	0.234	0.275
PUS3	ENSG00000110060	OMIM	AR	-	-	-	-	-	-	-	-	-	-	0.04	0.08	-1.26	0.376	0.432
PYCR1	ENSG00000183010	OMIM	AR	-	-	-	-	-	0.00	0.12	-0.88	0.597	0.657	0.00	0.12	-0.88	0.597	0.656
PYGL	ENSG00000100504	OMIM	AR	0.11	0.16	-0.53	0.650	0.708	0.04	0.16	-0.83	0.550	0.610	0.11	0.20	-0.86	0.435	0.494
PYGM	ENSG00000068976	OMIM	AR	0.30	0.20	-0.72	0.406	0.466	0.49	0.24	-0.30	0.695	0.749	0.49	0.24	-0.30	0.695	0.746
RAD50	ENSG00000113522	OMIM	Other	0.19	0.00	1.93	0.236	0.278	0.11	0.00	1.70	0.311	0.362	0.19	0.00	1.93	0.236	0.277
RAD51	ENSG00000051180	OMIM	AD	-	-	-	-	-	0.04	0.16	-0.11	0.934	0.947	0.04	0.16	-0.11	0.934	0.946
RAD54B	ENSG00000197275	OMIM	Other	0.08	0.08	0.99	0.483	0.546	-	-	-	-	-	0.08	0.08	0.99	0.483	0.543
RAD54L	ENSG00000085999	OMIM	AD	0.08	0.04	0.41	0.794	0.822	-	-	-	-	-	0.08	0.04	0.41	0.794	0.821
RAG1	ENSG00000166349	OMIM	AR	0.15	0.04	0.89	0.513	0.575	0.15	0.04	0.88	0.525	0.586	0.19	0.08	0.70	0.562	0.621
RAPSN	ENSG00000165917	OMIM	AR	-	-	-	-	-	-	-	-	-	-	0.08	0.04	0.75	0.659	0.714
RARS	ENSG00000113643	OMIM	AR	0.11	0.04	0.99	0.545	0.607	0.19	0.12	0.11	0.920	0.935	0.30	0.16	0.45	0.659	0.713
