Supplementary Table 2. List of genes with pathogenic variant frequencies in Pan-cancer compared to controls																		
																		
Gene Symbol	Ensenbl ID	Gene set	Inheritance	Case-control (PTVs)					Case-control (ClinVar Pathogenic variants)					Case-control (PTVs + ClinVar Pathogenic variants)				
				PCAWG (%)	1KG (%)	Log2 (Odds ratio)	P-value	FDR	PCAWG (%)	1KG (%)	Log2 (Odds ratio)	P-value	FDR	PCAWG (%)	1KG (%)	Log2 (Odds ratio)	P-value	FDR
BMPR1B	ENSG00000138696	OMIM	AD	0.04	0.20	-0.84	0.553	0.615	-	-	-	-	-	0.04	0.20	-0.84	0.553	0.612
BRAT1	ENSG00000106009	OMIM	AR	0.19	0.00	1.46	0.369	0.427	0.11	0.00	1.08	0.526	0.587	0.19	0.00	1.46	0.369	0.425
BRCA1	ENSG00000012048	CPG	Not OMIM	0.79	0.04	2.35	0.031	0.037	0.87	0.04	3.01	0.009	0.011	0.87	0.04	3.01	0.009	0.011
BRCA2	ENSG00000139618	CPG	Not OMIM	1.10	0.04	4.19	0.000	0.001	1.06	0.04	4.17	0.000	0.001	1.17	0.04	4.21	0.000	0.000
BRD4	ENSG00000141867	SOD	Not OMIM	0.23	0.00	2.83	0.069	0.082	-	-	-	-	-	0.23	0.00	2.83	0.069	0.082
BRIP1	ENSG00000136492	CPG	Not OMIM	0.08	0.04	0.34	0.832	0.857	0.08	0.04	0.44	0.779	0.809	0.11	0.04	0.58	0.700	0.751
BSND	ENSG00000162399	OMIM	AR	-	-	-	-	-	0.08	0.04	0.11	0.937	0.948	0.08	0.04	0.11	0.937	0.948
BTD	ENSG00000169814	OMIM	AR	-	-	-	-	-	0.30	0.16	0.14	0.894	0.912	0.30	0.16	0.14	0.894	0.911
BUB1B	ENSG00000156970	CPG	Not OMIM	0.11	0.00	3.14	0.073	0.087	-	-	-	-	-	0.11	0.00	3.14	0.073	0.087
C10orf11	ENSG00000148655	OMIM	AR	0.08	0.04	0.37	0.785	0.815	-	-	-	-	-	0.08	0.04	0.37	0.785	0.814
C10orf2	ENSG00000107815	OMIM	AR	-	-	-	-	-	-	-	-	-	-	0.08	0.04	0.26	0.862	0.884
C19orf12	ENSG00000131943	OMIM	AR	-	-	-	-	-	0.15	0.04	1.71	0.220	0.259	0.15	0.04	1.71	0.220	0.258
C1S	ENSG00000182326	OMIM	AD	0.11	0.00	1.16	0.490	0.553	-	-	-	-	-	0.11	0.00	1.16	0.490	0.550
C21orf2	ENSG00000160226	OMIM	AR	-	-	-	-	-	0.08	0.04	0.82	0.611	0.671	0.11	0.04	1.39	0.354	0.409
C21orf59	ENSG00000159079	OMIM	AR	0.11	0.04	1.03	0.538	0.600	0.08	0.04	0.89	0.606	0.666	0.11	0.04	1.03	0.538	0.597
C2CD3	ENSG00000168014	OMIM	AR	0.08	0.04	1.61	0.290	0.338	-	-	-	-	-	0.08	0.04	1.61	0.290	0.337
C2orf71	ENSG00000179270	OMIM	Other	0.11	0.04	3.22	0.042	0.050	-	-	-	-	-	0.11	0.04	3.22	0.042	0.050
C5	ENSG00000106804	OMIM	AD	0.08	0.16	-0.72	0.582	0.645	-	-	-	-	-	0.08	0.16	-0.72	0.582	0.641
C5orf42	ENSG00000197603	OMIM	AR	-	-	-	-	-	0.15	0.08	0.59	0.637	0.695	0.15	0.08	0.59	0.637	0.694
C6	ENSG00000039537	OMIM	Other	0.23	0.32	0.29	0.733	0.780	-	-	-	-	-	0.23	0.32	0.29	0.733	0.778
C7	ENSG00000112936	OMIM	Other	0.30	0.20	1.35	0.131	0.156	0.76	0.20	0.21	0.768	0.802	1.06	0.40	0.71	0.242	0.283
C8A	ENSG00000157131	OMIM	AR	0.15	0.00	3.67	0.039	0.046	-	-	-	-	-	0.15	0.00	3.67	0.039	0.046
C8B	ENSG00000021852	OMIM	AR	0.34	0.36	-0.48	0.548	0.611	0.26	0.28	-0.91	0.282	0.328	0.34	0.36	-0.48	0.548	0.608
